method	input_object	center_or_transform	direction_retained	scientific_target	overlap_with_rho_p	decisive_difference	manuscript_role	primary_source
Hoorn c_d	within-margin all-to-all divergence rows	pairwise Euclidean divergence aggregation	no	whether internal divergence patterns match across paired groups	same broad divergence-similarity question	all-to-all geometry rather than profiles around a fitted reference	historical predecessor and motivation	https://arxiv.org/abs/2510.16717
Stavig ranked r_ad	paired ranks	L1 rank difference normalized by its independence expectation	yes, through rank ordering	rank agreement; identical to Spearman footrule form	uses absolute differences in its formula only	compares paired ranks, not paired marginal radii	resolve the absolute-deviation naming collision	https://doi.org/10.2466/pms.1982.54.1.164
Stavig interval r_AD	paired marginal standard scores	mean/SD standardization followed by L1 paired discrepancy	yes	agreement of signed standardized paired values	uses absolute loss and marginal standardization	L1 discrepancy of signed z scores, not Corr of unsigned robust radii	closest title match but a different estimand	https://doi.org/10.2466/pms.1982.54.1.164
fixed-reference absolute-deviation Pearson	paired |X-t_x| and |Y-t_y|	externally fixed marginal references	no	linear co-movement of two fixed radial profiles	same correlation functional after profiles are formed	does not account for estimated median/MAD-Huber references	closest algebraic ancestor; scalar transformation alone is not novelty	Pearson correlation applied after a prespecified transformation
Pearson correlation	paired raw values	mean-centered covariance standardized by SDs	yes	linear raw-value association	rho_P is Pearson correlation after generated profile transforms	raw signed association rather than divergence-profile similarity	classical baseline and algebraic building block	standard classical definition
Spearman/Kendall	paired ranks or concordant pairs	marginal ranks or pairwise order signs	yes, through ordering	monotone association or concordance	nonparametric association comparators	ordering association is not radial-profile association	classical monotone alternatives	standard classical definitions
robust raw-data correlation	paired raw values	robust covariance/location/scale constructions	yes	outlier-resistant raw-value association	shares robust nuisance estimation concerns	robustifies raw association, whereas rho_P targets fitted radial profiles	prevents an unsupported globally robust correlation claim	https://doi.org/10.1093/biomet/62.3.531
Gini correlation	paired raw values and marginal ranks/CDF values	covariance with a rank transform	yes	signed raw association between Pearson and rank approaches	alternative marginally transformed association measure	not a correlation between fitted unsigned divergence profiles	broader transformed-correlation context	https://doi.org/10.1080/03610928708829359
distance correlation	double-centered pairwise distance matrices	all pairwise distances with U/V-style centering	not directly	general dependence; zero characterizes independence under conditions	both use geometric deviation information	omnibus dependence target rather than matched radial-profile similarity	modern general-dependence comparator	https://doi.org/10.1214/009053607000000505
Mantel statistic/test	two pairwise dissimilarity matrices	association across dyadic matrix entries	depends on dissimilarity definition	matrix-level association under label permutation	compares two systems of within-sample dissimilarity	dyadic edges are dependent and are not IID paired node profiles	all-to-all/dyadic alternative with a distinct inferential unit	https://aacrjournals.org/cancerres/article/27/2_Part_1/209/476508/
