check	passed	detail
display_tables_rebuild_exactly_from_frozen_sources	1	five display artifacts match reporting-script reconstruction
table2_is_exclusively_theorem_aligned_wald	1	6 selected regular-IID rows
figure1_is_explicit_noncalibration_mechanism_evidence	1	22 intervention rows; no permutation rows
figure2_is_exclusively_empirical_permutation_bridge_evidence	1	24 bridge cells with explicit permutation boundary
figure3_is_exclusively_empirical_permutation_residual_evidence	1	10 matched-index plus prospective residual cells
display_source_manifest_is_current_and_complete	1	7 source entries; all source files present
section6_states_track_and_claim_boundaries	1	required track labels and claim boundaries are present
section6_never_mixes_wald_and_permutation_in_one_display	1	explicit display-separation statement present
display_builder_does_not_introduce_simulation_or_grid_search	1	reporting script only reads frozen tables and renders displays
all_rendered_figure_formats_are_present_and_nonempty	1	manuscript_figure1_reference_switching_20260905.png,manuscript_figure1_reference_switching_20260905.pdf,manuscript_figure2_conditioning_bridge_20260905.png,manuscript_figure2_conditioning_bridge_20260905.pdf,manuscript_figure3_family_residual_20260905.png,manuscript_figure3_family_residual_20260905.pdf
